match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok
2022_2022-09-03_Pacific_vs_York_United,2022,2022-09-03T21:00:00Z,Pacific,York,562.9800000000014,562.9800000000014,562.9800000000014,16697.45,16134.47,True,home,York,16697.45,16697.45,1.0,True,away,Pacific,16134.47,16134.47,1.0,True
2022_2022-09-04_Valour_vs_Forge,2022,2022-09-04T18:00:00Z,Valour,Forge,-99.22000000000116,-99.22000000000116,-99.22000000000116,16605.6,16704.82,True,home,Forge,16605.6,16605.6,1.0,True,away,Valour,16704.82,16704.82,1.0,True
2022_2022-09-05_HFX_Wanderers_vs_Cavalry,2022,2022-09-05T18:00:00Z,Wanderers,Cavalry,-621.2799999999988,-621.2799999999988,-621.2799999999988,16065.61,16686.89,True,home,Cavalry,16065.61,16065.61,1.0,True,away,Wanderers,16686.89,16686.89,1.0,True
2022_2022-09-09_York_United_vs_Edmonton,2022,2022-09-09T23:30:00Z,York,Edmonton,-74489.23,-74489.23,-74489.23,16233.58,90722.81,True,home,Edmonton,16233.58,16233.58,1.0,True,away,York,90722.81,90722.81,1.0,True
2022_2022-09-10_HFX_Wanderers_vs_Valour,2022,2022-09-10T18:00:00Z,Wanderers,Valour,-611.1599999999999,-611.1599999999999,-611.1599999999999,16074.3,16685.46,True,home,Valour,16074.3,16074.3,1.0,True,away,Wanderers,16685.46,16685.46,1.0,True
2022_2022-09-10_Forge_vs_Cavalry,2022,2022-09-10T21:00:00Z,Forge,Cavalry,-53.35000000000218,-53.35000000000218,-53.35000000000218,16624.96,16678.31,True,home,Cavalry,16624.96,16624.96,1.0,True,away,Forge,16678.31,16678.31,1.0,True
2022_2022-09-11_Pacific_vs_Atlético_Ottawa,2022,2022-09-11T20:00:00Z,Pacific,Atlético,-189.52999999999884,-189.52999999999884,-189.52999999999884,16598.34,16787.87,True,home,Atlético,16598.34,16598.34,1.0,True,away,Pacific,16787.87,16787.87,1.0,True
2022_2022-09-16_York_United_vs_HFX_Wanderers,2022,2022-09-16T23:30:00Z,York,Wanderers,128.47999999999956,128.47999999999956,128.47999999999956,16293.64,16165.16,True,home,Wanderers,16293.64,16293.64,1.0,True,away,York,16165.16,16165.16,1.0,True
2022_2022-09-17_Edmonton_vs_Cavalry,2022,2022-09-17T20:00:00Z,Edmonton,Cavalry,71427.63,71427.63,71427.63,88027.07,16599.44,True,home,Cavalry,88027.07,88027.07,1.0,True,away,Edmonton,16599.44,16599.44,1.0,True
2022_2022-09-18_Valour_vs_Atlético_Ottawa,2022,2022-09-18T20:00:00Z,Valour,Atlético,-193.9300000000003,-193.9300000000003,-193.9300000000003,16594.6,16788.53,True,home,Atlético,16594.6,16594.6,1.0,True,away,Valour,16788.53,16788.53,1.0,True
